ID,Año,Título y Medio,Ocasión y Lugar,# representaciones,Última representación,GP compositor,Título,Medio,Ocasión,Lugar,Facebook live,Universidad de Chile,# Intérpretes GP H,# Intérpretes GP M,# Intérpretes GP ND
RMCh238_157,2022,Preludio oboístico (2019) para dos oboes,"Festival Internacional de Oboe, Asociación Cultural Mismar. Vía Facebook Live",1,2022-04-12,male,Preludio oboístico (2019),dos oboes,Festival Internacional de Oboe,Asociación Cultural Mismar. Vía Facebook Live,True,False,2.0,0.0,1.0
RMCh238_158,2022,Oboes para dos oboes,"Festival Internacional de Oboe, Asociación Cultural Mismar. Vía Facebook Live",1,2022-04-12,male,Oboes,dos oboes,Festival Internacional de Oboe,Asociación Cultural Mismar. Vía Facebook Live,True,False,2.0,0.0,1.0
RMCh238_159,2022,Tempus* (2022) para coro mixto a cappella,"XIX Encuentro de Música Sacra, Pontificia Universidad Católica de Chile. Templo Mayor del Campus Oriente UC",1,2022-04-19,unknown,Tempus* (2022),coro mixto a cappella,XIX Encuentro de Música Sacra,Pontificia Universidad Católica de Chile. Templo Mayor del Campus Oriente UC,False,False,1.0,1.0,0.0
RMCh238_160,2022,Tempus* (2022) para coro mixto a cappella,"XIX Encuentro de Música Sacra, Pontificia Universidad Católica de Chile. Parroquia de la Anunciación, Providencia, Santiago",1,2022-04-20,unknown,Tempus* (2022),coro mixto a cappella,XIX Encuentro de Música Sacra,Pontificia Universidad Católica de Chile. Parroquia de la Anunciación,False,False,1.0,1.0,0.0
RMCh238_161,2022,Tempus* (2022) para coro mixto a cappella,"XIX Encuentro de Música Sacra, Pontificia Universidad Católica de Chile. Sala Luksic, Campus San Joaquín UC",1,2022-04-21,unknown,Tempus* (2022),coro mixto a cappella,XIX Encuentro de Música Sacra,Pontificia Universidad Católica de Chile. Sala Luksic,False,False,1.0,1.0,0.0
RMCh238_162,2022,Tonada de la itinerante para conjunto de instrumentos de plectro,"Concierto “Música de plectro de Chile para el mundo”, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-08-17,unknown,Tonada de la itinerante,conjunto de instrumentos de plectro,Concierto “Música de plectro de Chile para el mundo”,Facultad de Artes de la Universidad de Chile,False,True,5.0,0.0,2.0
RMCh238_163,2022,Fragmentos para ensamble*,"XXII Festival Internacional de Música Contemporánea, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-29,male,Fragmentos,ensamble*,XXII Festival Internacional de Música Contemporánea,Facultad de Artes de la Universidad de Chile,False,True,0.0,0.0,1.0
RMCh238_164,2022,Pastoral de Alhué (1937) para pequeña orquesta,"Concierto día del Sagrado Corazón UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Salón Fresno, Centro de Extensión UC",1,2022-06-23,male,Pastoral de Alhué (1937),pequeña orquesta,Concierto día del Sagrado Corazón UC. Instituto de Música de la Pontificia Universidad Católica de Chile. Salón Fresno,Centro de Extensión UC,False,False,1.0,0.0,1.0
RMCh238_165,2022,Sortilegio para violonchelo solo,"Examen de título Blanca Ángel Jiménez, Interpretación Musical mención violoncello, Temporada Virtual del Departamento de Música, Facultad de Artes de la Universidad de Chile, vía YouTube Música U. Chile",1,2022-04-28,female,Sortilegio,violonchelo solo,Examen de título Blanca Ángel Jiménez,Interpretación Musical mención violoncello,False,True,0.0,1.0,0.0
RMCh238_166,2022,Cristales en el mar para violín solo,"XXII Festival Internacional de Música Contemporánea, Facultad de Artes de la Universidad de Chile, Sala Isidora Zegers",1,2022-09-28,female,Cristales en el mar,violín solo,XXII Festival Internacional de Música Contemporánea,Facultad de Artes de la Universidad de Chile,False,True,1.0,0.0,0.0
